date,top_feature,top_attribution
2023-07-20,rainfall_anomaly,8.0534
2023-07-21,rainfall_anomaly,8.0534
2023-07-22,rainfall_anomaly,8.0534
2023-07-23,rainfall_anomaly,8.0534
2023-07-24,rainfall_anomaly,8.0474
2023-07-25,rainfall_anomaly,8.0474
2023-07-26,coastal_convergence_index,0.9536
2023-07-27,olr_anomaly,1.2852
2023-07-28,zonal_shear_850,0.8547
2023-07-29,zonal_shear_850,0.8249
2023-07-30,lps_flag,10.3325
2023-07-31,olr_anomaly,1.113
2023-08-01,olr_anomaly,1.113
2023-08-02,olr_anomaly,1.1664
2023-08-03,olr_anomaly,1.1664
2023-08-04,olr_anomaly,1.2852
2023-08-05,olr_anomaly,1.1304
2023-08-06,olr_anomaly,1.2872
2023-08-07,olr_anomaly,1.2872
2023-08-08,olr_anomaly,1.1664
2023-08-09,olr_anomaly,1.171
2023-08-10,olr_anomaly,1.1804
2023-08-11,olr_anomaly,1.1804
2023-08-12,olr_anomaly,1.171
2023-08-13,olr_anomaly,1.171
2023-08-14,olr_anomaly,1.171
2023-08-15,orographic_index,1.1188
2023-08-16,coastal_convergence_index,0.8183
2023-08-17,coastal_convergence_index,0.9227
2023-08-18,lps_flag,10.3325
2023-08-19,lps_flag,10.3325
2023-08-20,lps_flag,10.3325
2023-08-21,rainfall_anomaly,8.0534
2023-08-22,rainfall_anomaly,8.0534
2023-08-23,rainfall_anomaly,8.0534
2023-08-24,rainfall_anomaly,8.0474
2023-08-25,zonal_shear_850,1.0306
2023-08-26,zonal_shear_850,1.1216
2023-08-27,zonal_shear_850,1.0291
2023-08-28,coastal_convergence_index,0.9499
2023-08-29,orographic_index,1.1276
2023-08-30,orographic_index,1.1197
2023-08-31,orographic_index,1.1192
2023-09-01,orographic_index,1.1192
2023-09-02,olr_anomaly,1.1387
2023-09-03,olr_anomaly,1.1323
2023-09-04,olr_anomaly,1.2872
2023-09-05,olr_anomaly,1.1323
2023-09-06,olr_anomaly,1.2872
2023-09-07,olr_anomaly,1.2852
2023-09-08,olr_anomaly,1.171
2023-09-09,olr_anomaly,1.171
2023-09-10,olr_anomaly,1.171
2023-09-11,olr_anomaly,1.171
2023-09-12,olr_anomaly,1.171
2023-09-13,olr_anomaly,1.1664
2023-09-14,olr_anomaly,1.1304
2023-09-15,olr_anomaly,1.2872
2023-09-16,olr_anomaly,1.2872
2023-09-17,olr_anomaly,1.2872
2023-09-18,coastal_convergence_index,0.956
2023-09-19,coastal_convergence_index,2.0343
2023-09-20,lps_flag,10.3325
2023-09-21,lps_flag,10.3325
2023-09-22,rainfall_anomaly,8.0474
2023-09-23,rainfall_anomaly,8.0474
2023-09-24,rainfall_anomaly,8.0468
2023-09-25,rainfall_anomaly,8.0474
2023-09-26,wd_flag,13.1153
2023-09-27,wd_flag,13.1153
2023-09-28,rainfall_anomaly,8.0474
2023-09-29,rainfall_anomaly,8.0474
2023-09-30,rainfall_anomaly,8.0474
